subscription_id,billing_customer_id,account_id,plan,status,mrr_cents,started_at
sub_bench_100040,cus_bench_100040,acct_0040,starter,active,29900,2026-06-01T00:00:00+00:00
sub_bench_100041,cus_bench_100041,acct_0041,growth,active,49900,2026-06-02T00:00:00+00:00
sub_bench_100042,cus_bench_100042,acct_0042,scale,active,89900,2026-06-03T00:00:00+00:00
sub_bench_100043,cus_bench_100043,acct_0043,starter,active,29900,2026-06-04T00:00:00+00:00
sub_bench_100044,cus_bench_100044,acct_0044,growth,active,49900,2026-06-05T00:00:00+00:00
sub_bench_100045,cus_bench_100045,acct_0045,scale,active,89900,2026-06-06T00:00:00+00:00
sub_bench_100046,cus_bench_100046,acct_0046,starter,active,29900,2026-06-07T00:00:00+00:00
sub_bench_100047,cus_bench_100047,acct_0047,growth,active,49900,2026-06-08T00:00:00+00:00
sub_bench_100048,cus_bench_100048,acct_0048,scale,active,89900,2026-06-09T00:00:00+00:00
sub_bench_100049,cus_bench_100049,acct_0049,starter,active,29900,2026-06-10T00:00:00+00:00
sub_bench_100050,cus_bench_100050,acct_0050,growth,active,49900,2026-06-11T00:00:00+00:00
sub_bench_100051,cus_bench_100051,acct_0051,scale,active,89900,2026-06-12T00:00:00+00:00
sub_bench_100052,cus_bench_100052,acct_0052,starter,active,29900,2026-06-13T00:00:00+00:00
sub_bench_100054,cus_bench_100054,acct_0054,scale,active,89900,2026-06-15T00:00:00+00:00
sub_bench_100055,cus_bench_100055,acct_0055,starter,active,29900,2026-06-16T00:00:00+00:00
sub_bench_100056,cus_bench_100056,acct_0056,growth,active,49900,2026-06-17T00:00:00+00:00
sub_bench_100057,cus_bench_100057,acct_0057,scale,active,89900,2026-06-18T00:00:00+00:00
sub_bench_100058,cus_bench_100058,acct_0058,starter,active,29900,2026-06-19T00:00:00+00:00
sub_bench_100059,cus_bench_100059,acct_0059,growth,active,49900,2026-06-20T00:00:00+00:00
sub_bench_100060,cus_bench_100060,acct_0060,scale,active,89900,2026-06-01T00:00:00+00:00
sub_bench_100061,cus_bench_100061,acct_0061,starter,active,29900,2026-06-02T00:00:00+00:00
sub_bench_100062,cus_bench_100062,acct_0062,growth,active,49900,2026-06-03T00:00:00+00:00
sub_bench_100063,cus_bench_100063,acct_0063,scale,active,89900,2026-06-04T00:00:00+00:00
sub_bench_100064,cus_bench_100064,acct_0064,starter,active,29900,2026-06-05T00:00:00+00:00
sub_bench_100065,cus_bench_100065,acct_0065,growth,active,49900,2026-06-06T00:00:00+00:00
sub_bench_100066,cus_bench_100066,acct_0066,scale,active,89900,2026-06-07T00:00:00+00:00
sub_bench_100067,cus_bench_100067,acct_0067,starter,active,29900,2026-06-08T00:00:00+00:00
sub_bench_100068,cus_bench_100068,acct_0068,growth,active,49900,2026-06-09T00:00:00+00:00
sub_bench_100069,cus_bench_100069,acct_0069,scale,active,89900,2026-06-10T00:00:00+00:00
sub_bench_100070,cus_bench_100070,acct_0070,starter,active,29900,2026-06-11T00:00:00+00:00
sub_bench_100071,cus_bench_100071,acct_0071,growth,active,49900,2026-06-12T00:00:00+00:00
sub_bench_100072,cus_bench_100072,acct_0072,scale,active,89900,2026-06-13T00:00:00+00:00
sub_bench_100073,cus_bench_100073,acct_0073,starter,active,29900,2026-06-14T00:00:00+00:00
sub_bench_100074,cus_bench_100074,acct_0074,growth,active,49900,2026-06-15T00:00:00+00:00
sub_bench_100075,cus_bench_100075,acct_0075,scale,active,89900,2026-06-16T00:00:00+00:00
sub_bench_100076,cus_bench_100076,acct_0076,starter,active,29900,2026-06-17T00:00:00+00:00
sub_bench_100077,cus_bench_100077,acct_0077,growth,active,49900,2026-06-18T00:00:00+00:00
sub_bench_100078,cus_bench_100078,acct_0078,scale,active,89900,2026-06-19T00:00:00+00:00
sub_bench_100079,cus_bench_100079,acct_0079,starter,active,29900,2026-06-20T00:00:00+00:00
sub_bench_100080,cus_bench_100080,acct_0080,growth,active,49900,2026-06-01T00:00:00+00:00
sub_bench_100081,cus_bench_100081,acct_0081,scale,active,89900,2026-06-02T00:00:00+00:00
sub_bench_100082,cus_bench_100082,acct_0082,starter,active,29900,2026-06-03T00:00:00+00:00
sub_bench_100083,cus_bench_100083,acct_0083,growth,active,49900,2026-06-04T00:00:00+00:00
sub_bench_100084,cus_bench_100084,acct_0084,scale,active,89900,2026-06-05T00:00:00+00:00
sub_bench_100085,cus_bench_100085,acct_0085,starter,active,29900,2026-06-06T00:00:00+00:00
sub_bench_100086,cus_bench_100086,acct_0086,growth,active,49900,2026-06-07T00:00:00+00:00
sub_bench_100087,cus_bench_100087,acct_0087,scale,active,89900,2026-06-08T00:00:00+00:00
sub_bench_100088,cus_bench_100088,acct_0088,starter,active,29900,2026-06-09T00:00:00+00:00
sub_bench_100089,cus_bench_100089,acct_0089,growth,active,49900,2026-06-10T00:00:00+00:00
sub_bench_100090,cus_bench_100090,acct_0090,scale,active,89900,2026-06-11T00:00:00+00:00
sub_bench_100091,cus_bench_100091,acct_0091,starter,active,29900,2026-06-12T00:00:00+00:00
sub_bench_100092,cus_bench_100092,acct_0092,growth,active,49900,2026-06-13T00:00:00+00:00
sub_bench_100093,cus_bench_100093,acct_0093,scale,active,89900,2026-06-14T00:00:00+00:00
sub_bench_100094,cus_bench_100094,acct_0094,starter,active,29900,2026-06-15T00:00:00+00:00
sub_bench_100095,cus_bench_100095,acct_0095,growth,active,49900,2026-06-16T00:00:00+00:00
sub_bench_100096,cus_bench_100096,acct_0096,scale,active,89900,2026-06-17T00:00:00+00:00
sub_bench_100097,cus_bench_100097,acct_0097,starter,active,29900,2026-06-18T00:00:00+00:00
sub_bench_100098,cus_bench_100098,acct_0098,growth,active,49900,2026-06-19T00:00:00+00:00
sub_bench_100099,cus_bench_100099,acct_0099,scale,active,89900,2026-06-20T00:00:00+00:00
sub_bench_100100,cus_bench_100100,acct_0100,starter,active,29900,2026-06-01T00:00:00+00:00
sub_bench_100102,cus_bench_100102,acct_0102,scale,active,89900,2026-06-03T00:00:00+00:00
sub_bench_100103,cus_bench_100103,acct_0103,starter,active,29900,2026-06-04T00:00:00+00:00
sub_bench_100104,cus_bench_100104,acct_0104,growth,active,49900,2026-06-05T00:00:00+00:00
sub_bench_100105,cus_bench_100105,acct_0105,scale,active,89900,2026-06-06T00:00:00+00:00
sub_bench_100106,cus_bench_100106,acct_0106,starter,active,29900,2026-06-07T00:00:00+00:00
sub_bench_100107,cus_bench_100107,acct_0107,growth,active,49900,2026-06-08T00:00:00+00:00
sub_bench_100108,cus_bench_100108,acct_0108,scale,active,89900,2026-06-09T00:00:00+00:00
sub_bench_100109,cus_bench_100109,acct_0109,starter,active,29900,2026-06-10T00:00:00+00:00
sub_bench_100110,cus_bench_100110,acct_0110,growth,active,49900,2026-06-11T00:00:00+00:00
sub_bench_100111,cus_bench_100111,acct_0111,scale,active,89900,2026-06-12T00:00:00+00:00
sub_bench_100112,cus_bench_100112,acct_0112,starter,active,29900,2026-06-13T00:00:00+00:00
sub_bench_100113,cus_bench_100113,acct_0113,growth,active,49900,2026-06-14T00:00:00+00:00
sub_bench_100114,cus_bench_100114,acct_0114,scale,active,89900,2026-06-15T00:00:00+00:00
sub_bench_100115,cus_bench_100115,acct_0115,starter,active,29900,2026-06-16T00:00:00+00:00
sub_bench_100116,cus_bench_100116,acct_0116,growth,active,49900,2026-06-17T00:00:00+00:00
sub_bench_100117,cus_bench_100117,acct_0117,scale,active,89900,2026-06-18T00:00:00+00:00
sub_bench_100118,cus_bench_100118,acct_0118,starter,active,29900,2026-06-19T00:00:00+00:00
sub_bench_100119,cus_bench_100119,acct_0119,growth,active,49900,2026-06-20T00:00:00+00:00
sub_bench_100120,cus_bench_100120,acct_0120,scale,active,89900,2026-06-01T00:00:00+00:00
