account_id,company_name,segment,country_code,crm_company_id,billing_customer_id,created_at
acct_0060,Northstar Customer 0060,Enterprise,ES,hs_100060,cus_bench_100060,2026-05-02T00:00:00+00:00
acct_0061,Northstar Customer 0061,SMB,FR,hs_100061,cus_bench_100061,2026-05-03T00:00:00+00:00
acct_0062,Northstar Customer 0062,Mid-market,DE,hs_100062,cus_bench_100062,2026-05-04T00:00:00+00:00
acct_0063,Northstar Customer 0063,Enterprise,GB,hs_100063,cus_bench_100063,2026-05-05T00:00:00+00:00
acct_0064,Northstar Customer 0064,SMB,US,hs_100064,cus_bench_100064,2026-05-06T00:00:00+00:00
acct_0065,Northstar Customer 0065,Mid-market,ES,hs_100065,cus_bench_100065,2026-05-07T00:00:00+00:00
acct_0066,Northstar Customer 0066,Enterprise,FR,hs_100066,cus_bench_100066,2026-05-08T00:00:00+00:00
acct_0067,Northstar Customer 0067,SMB,DE,hs_100067,cus_bench_100067,2026-05-09T00:00:00+00:00
acct_0068,Northstar Customer 0068,Mid-market,GB,hs_100068,cus_bench_100068,2026-05-10T00:00:00+00:00
acct_0069,Northstar Customer 0069,Enterprise,US,hs_100069,cus_bench_100069,2026-05-11T00:00:00+00:00
acct_0070,Northstar Customer 0070,SMB,ES,hs_100070,cus_bench_100070,2026-05-12T00:00:00+00:00
acct_0071,Northstar Customer 0071,Mid-market,FR,hs_100071,cus_bench_100071,2026-05-13T00:00:00+00:00
acct_0072,Northstar Customer 0072,Enterprise,DE,hs_100072,cus_bench_100072,2026-05-14T00:00:00+00:00
acct_0073,Northstar Customer 0073,SMB,GB,hs_100073,cus_bench_100073,2026-05-15T00:00:00+00:00
acct_0074,Northstar Customer 0074,Mid-market,US,hs_100074,cus_bench_100074,2026-05-16T00:00:00+00:00
acct_0075,Northstar Customer 0075,Enterprise,ES,hs_100075,cus_bench_100075,2026-05-17T00:00:00+00:00
acct_0076,Northstar Customer 0076,SMB,FR,hs_100076,cus_bench_100076,2026-05-18T00:00:00+00:00
acct_0077,Northstar Customer 0077,Mid-market,DE,hs_100077,cus_bench_100077,2026-05-19T00:00:00+00:00
acct_0078,Northstar Customer 0078,Enterprise,GB,hs_100078,cus_bench_100078,2026-05-20T00:00:00+00:00
acct_0079,Northstar Customer 0079,SMB,US,hs_100079,cus_bench_100079,2026-05-21T00:00:00+00:00
acct_0080,Northstar Customer 0080,Mid-market,ES,hs_100080,cus_bench_100080,2026-05-22T00:00:00+00:00
acct_0081,Northstar Customer 0081,Enterprise,FR,hs_100081,cus_bench_100081,2026-05-23T00:00:00+00:00
acct_0082,Northstar Customer 0082,SMB,DE,hs_100082,cus_bench_100082,2026-05-24T00:00:00+00:00
acct_0083,Northstar Customer 0083,Mid-market,GB,hs_100083,cus_bench_100083,2026-05-25T00:00:00+00:00
acct_0084,Northstar Customer 0084,Enterprise,US,hs_100084,cus_bench_100084,2026-05-26T00:00:00+00:00
acct_0085,Northstar Customer 0085,SMB,ES,hs_100085,cus_bench_100085,2026-05-27T00:00:00+00:00
acct_0086,Northstar Customer 0086,Mid-market,FR,hs_100086,cus_bench_100086,2026-05-28T00:00:00+00:00
acct_0087,Northstar Customer 0087,Enterprise,DE,hs_100087,cus_bench_100087,2026-05-29T00:00:00+00:00
acct_0088,Northstar Customer 0088,SMB,GB,hs_100088,cus_bench_100088,2026-05-30T00:00:00+00:00
acct_0089,Northstar Customer 0089,Mid-market,US,hs_100089,cus_bench_100089,2026-05-31T00:00:00+00:00
acct_0090,Northstar Customer 0090,Enterprise,ES,hs_100090,cus_bench_100090,2026-06-01T00:00:00+00:00
acct_0091,Northstar Customer 0091,SMB,FR,hs_100091,cus_bench_100091,2026-06-02T00:00:00+00:00
acct_0092,Northstar Customer 0092,Mid-market,DE,hs_100092,cus_bench_100092,2026-06-03T00:00:00+00:00
acct_0093,Northstar Customer 0093,Enterprise,GB,hs_100093,cus_bench_100093,2026-06-04T00:00:00+00:00
acct_0094,Northstar Customer 0094,SMB,US,hs_100094,cus_bench_100094,2026-06-05T00:00:00+00:00
acct_0095,Northstar Customer 0095,Mid-market,ES,hs_100095,cus_bench_100095,2026-06-06T00:00:00+00:00
acct_0096,Northstar Customer 0096,Enterprise,FR,hs_100096,cus_bench_100096,2026-06-07T00:00:00+00:00
acct_0097,Northstar Customer 0097,SMB,DE,hs_100097,cus_bench_100097,2026-06-08T00:00:00+00:00
acct_0098,Northstar Customer 0098,Mid-market,GB,hs_100098,cus_bench_100098,2026-06-09T00:00:00+00:00
acct_0099,Northstar Customer 0099,Enterprise,US,hs_100099,cus_bench_100099,2026-06-10T00:00:00+00:00
acct_0100,Northstar Customer 0100,SMB,ES,hs_100100,cus_bench_100100,2026-06-11T00:00:00+00:00
acct_0101,Northstar Customer 0101,Mid-market,FR,hs_100101,cus_bench_100101,2026-06-12T00:00:00+00:00
acct_0102,Northstar Customer 0102,Enterprise,DE,hs_100102,cus_bench_100102,2026-06-13T00:00:00+00:00
acct_0103,Northstar Customer 0103,SMB,GB,hs_100103,cus_bench_100103,2026-06-14T00:00:00+00:00
acct_0104,Northstar Customer 0104,Mid-market,US,hs_100104,cus_bench_100104,2026-06-15T00:00:00+00:00
acct_0105,Northstar Customer 0105,Enterprise,ES,hs_100105,cus_bench_100105,2026-06-16T00:00:00+00:00
acct_0106,Northstar Customer 0106,SMB,FR,hs_100106,cus_bench_100106,2026-06-17T00:00:00+00:00
acct_0107,Northstar Customer 0107,Mid-market,DE,hs_100107,cus_bench_100107,2026-06-18T00:00:00+00:00
acct_0108,Northstar Customer 0108,Enterprise,GB,hs_100108,cus_bench_100108,2026-06-19T00:00:00+00:00
acct_0109,Northstar Customer 0109,SMB,US,hs_100109,cus_bench_100109,2026-06-20T00:00:00+00:00
acct_0110,Northstar Customer 0110,Mid-market,ES,hs_100110,cus_bench_100110,2026-06-21T00:00:00+00:00
acct_0111,Northstar Customer 0111,Enterprise,FR,hs_100111,cus_bench_100111,2026-06-22T00:00:00+00:00
acct_0112,Northstar Customer 0112,SMB,DE,hs_100112,cus_bench_100112,2026-06-23T00:00:00+00:00
acct_0113,Northstar Customer 0113,Mid-market,GB,hs_100113,cus_bench_100113,2026-06-24T00:00:00+00:00
acct_0114,Northstar Customer 0114,Enterprise,US,hs_100114,cus_bench_100114,2026-06-25T00:00:00+00:00
acct_0115,Northstar Customer 0115,SMB,ES,hs_100115,cus_bench_100115,2026-06-26T00:00:00+00:00
acct_0116,Northstar Customer 0116,Mid-market,FR,hs_100116,cus_bench_100116,2026-06-27T00:00:00+00:00
acct_0117,Northstar Customer 0117,Enterprise,DE,hs_100117,cus_bench_100117,2026-06-28T00:00:00+00:00
acct_0118,Northstar Customer 0118,SMB,GB,hs_100118,cus_bench_100118,2026-06-29T00:00:00+00:00
acct_0119,Northstar Customer 0119,Mid-market,US,hs_100119,cus_bench_100119,2026-06-30T00:00:00+00:00
acct_0120,Northstar Customer 0120,Enterprise,ES,hs_100120,cus_bench_100120,2026-07-01T00:00:00+00:00
