deal_id,crm_company_id,account_id,stage,amount_cents,expected_mrr_cents,closed_at
deal_0057,hs_100057,acct_0057,closedwon,1078800,89900,2026-06-18T00:00:00+00:00
deal_0058,hs_100058,acct_0058,closedwon,358800,29900,2026-06-19T00:00:00+00:00
deal_0059,hs_100059,acct_0059,closedwon,598800,49900,2026-06-20T00:00:00+00:00
deal_0060,hs_100060,acct_0060,closedwon,1078800,89900,2026-06-01T00:00:00+00:00
deal_0061,hs_100061,acct_0061,closedwon,358800,29900,2026-06-02T00:00:00+00:00
deal_0062,hs_100062,acct_0062,closedwon,598800,49900,2026-06-03T00:00:00+00:00
deal_0063,hs_100063,acct_0063,closedwon,1078800,89900,2026-06-04T00:00:00+00:00
deal_0064,hs_100064,acct_0064,closedwon,358800,29900,2026-06-05T00:00:00+00:00
deal_0065,hs_100065,acct_0065,closedwon,598800,49900,2026-06-06T00:00:00+00:00
deal_0066,hs_100066,acct_0066,closedwon,1078800,89900,2026-06-07T00:00:00+00:00
deal_0067,hs_100067,acct_0067,closedwon,358800,29900,2026-06-08T00:00:00+00:00
deal_0068,hs_100068,acct_0068,closedwon,598800,49900,2026-06-09T00:00:00+00:00
deal_0069,hs_100069,acct_0069,closedwon,1078800,89900,2026-06-10T00:00:00+00:00
deal_0070,hs_100070,acct_0070,closedwon,358800,29900,2026-06-11T00:00:00+00:00
deal_0071,hs_100071,acct_0071,closedwon,598800,49900,2026-06-12T00:00:00+00:00
deal_0072,hs_100072,acct_0072,closedwon,1078800,89900,2026-06-13T00:00:00+00:00
deal_0073,hs_100073,acct_0073,closedwon,358800,29900,2026-06-14T00:00:00+00:00
deal_0074,hs_100074,acct_0074,closedwon,598800,49900,2026-06-15T00:00:00+00:00
deal_0075,hs_100075,acct_0075,closedwon,1078800,89900,2026-06-16T00:00:00+00:00
deal_0076,hs_100076,acct_0076,closedwon,358800,29900,2026-06-17T00:00:00+00:00
deal_0077,hs_100077,acct_0077,closedwon,598800,49900,2026-06-18T00:00:00+00:00
deal_0078,hs_100078,acct_0078,closedwon,1078800,89900,2026-06-19T00:00:00+00:00
deal_0079,hs_100079,acct_0079,closedwon,358800,29900,2026-06-20T00:00:00+00:00
deal_0080,hs_100080,acct_0080,closedwon,598800,49900,2026-06-01T00:00:00+00:00
deal_0081,hs_100081,acct_0081,closedwon,1078800,89900,2026-06-02T00:00:00+00:00
deal_0082,hs_100082,acct_0082,closedwon,358800,29900,2026-06-03T00:00:00+00:00
deal_0083,hs_100083,acct_0083,closedwon,598800,49900,2026-06-04T00:00:00+00:00
deal_0084,hs_100084,acct_0084,closedwon,1078800,89900,2026-06-05T00:00:00+00:00
deal_0085,hs_100085,acct_0085,closedwon,358800,29900,2026-06-06T00:00:00+00:00
deal_0086,hs_100086,acct_0086,closedwon,598800,49900,2026-06-07T00:00:00+00:00
deal_0087,hs_100087,acct_0087,closedwon,1078800,89900,2026-06-08T00:00:00+00:00
deal_0088,hs_100088,acct_0088,closedwon,358800,29900,2026-06-09T00:00:00+00:00
deal_0089,hs_100089,acct_0089,closedwon,598800,49900,2026-06-10T00:00:00+00:00
deal_0090,hs_100090,acct_0090,closedwon,1078800,89900,2026-06-11T00:00:00+00:00
deal_0091,hs_100091,acct_0091,closedwon,358800,29900,2026-06-12T00:00:00+00:00
deal_0092,hs_100092,acct_0092,closedwon,598800,49900,2026-06-13T00:00:00+00:00
deal_0093,hs_100093,acct_0093,closedwon,1078800,89900,2026-06-14T00:00:00+00:00
deal_0094,hs_100094,acct_0094,closedwon,358800,29900,2026-06-15T00:00:00+00:00
deal_0095,hs_100095,acct_0095,closedwon,598800,49900,2026-06-16T00:00:00+00:00
deal_0096,hs_100096,acct_0096,closedwon,1078800,89900,2026-06-17T00:00:00+00:00
deal_0097,hs_100097,acct_0097,closedwon,358800,29900,2026-06-18T00:00:00+00:00
deal_0098,hs_100098,acct_0098,closedwon,598800,49900,2026-06-19T00:00:00+00:00
deal_0099,hs_100099,acct_0099,closedwon,1078800,89900,2026-06-20T00:00:00+00:00
deal_0100,hs_100100,acct_0100,closedwon,358800,29900,2026-06-01T00:00:00+00:00
deal_0101,hs_100101,acct_0101,closedwon,598800,49900,2026-06-02T00:00:00+00:00
deal_0102,hs_100102,acct_0102,closedwon,1078800,89900,2026-06-03T00:00:00+00:00
deal_0103,hs_100103,acct_0103,closedwon,358800,29900,2026-06-04T00:00:00+00:00
deal_0104,hs_100104,acct_0104,closedwon,598800,49900,2026-06-05T00:00:00+00:00
deal_0105,hs_100105,acct_0105,closedwon,1078800,89900,2026-06-06T00:00:00+00:00
deal_0106,hs_100106,acct_0106,closedwon,358800,29900,2026-06-07T00:00:00+00:00
deal_0107,hs_100107,acct_0107,closedwon,598800,49900,2026-06-08T00:00:00+00:00
deal_0108,hs_100108,acct_0108,closedwon,1078800,89900,2026-06-09T00:00:00+00:00
deal_0109,hs_100109,acct_0109,closedwon,358800,29900,2026-06-10T00:00:00+00:00
deal_0110,hs_100110,acct_0110,closedwon,598800,49900,2026-06-11T00:00:00+00:00
deal_0111,hs_100111,acct_0111,closedwon,1078800,89900,2026-06-12T00:00:00+00:00
deal_0112,hs_100112,acct_0112,closedwon,358800,29900,2026-06-13T00:00:00+00:00
deal_0113,hs_100113,acct_0113,closedwon,598800,49900,2026-06-14T00:00:00+00:00
deal_0114,hs_100114,acct_0114,closedwon,1078800,89900,2026-06-15T00:00:00+00:00
deal_0115,hs_100115,acct_0115,closedwon,358800,29900,2026-06-16T00:00:00+00:00
deal_0116,hs_100116,acct_0116,closedwon,598800,49900,2026-06-17T00:00:00+00:00
deal_0117,hs_100117,acct_0117,closedwon,1078800,89900,2026-06-18T00:00:00+00:00
deal_0118,hs_100118,acct_0118,closedwon,358800,29900,2026-06-19T00:00:00+00:00
deal_0119,hs_100119,acct_0119,closedwon,598800,49900,2026-06-20T00:00:00+00:00
deal_0120,hs_100120,acct_0120,closedwon,1078800,89900,2026-06-01T00:00:00+00:00
